text_no_emoji,lang,translated_text
rauw,cy,raw
wow,pl,wow
handsome guy greets go gym,cy,handsome guy greets go gym
baby love,cs,baby love
mine,et,mine
estás bien sabroso,es,You are very tasty
hottie,fi,hottie
lip,tl,lip
one handsome man,da,one handsome man
con la chiken teriyaki infiel,tr,With the Chiken Teriyaki unfaithful
desubicado,es,misplaced
receta de calzones dicen que cuando llueve es obligación comerse unos cuantos ingredientes tazas de harina taza de azúcar flor cucharadita de polvos de hornear cucharadas de margarina huevo yemas de huevo cc leche líquida aceite para freír instrucciones cernir la harina junto con los polvos de hornear el azúcar flor agregue la margarina cortada en trozos el huevo las yemas mezcle añada de poco la leche tibia hasta formar una masa que se pegue en las manos mezcle hasta obtener una masa homogénea deje reposar la masa tapada con un paño durante minutos una vez lista la masa usleree dejándola de un espesor de centímetro aproximadamente corte tiras de centímetros de ancho luego corte las mismas tiras en forma de rombo haga una incisión en el medio del rombo pase una punta de éste por el orificio del centro estírelo fría en aceite hondo hasta que estén dorados levemente sáquelos déjelos secar en papel absorbente sírvalos con azúcar flor espolvoreada encima,es,Pantry recipe say that when it rains it is the obligation to eat a few ingredients flour mugs flowDough that sticks in the hands mix until a homogeneous dough will let the dough covered with a cloth for minutes once the uslele dough ready leaving it from a centimeter thickTake them away
entao neh,pt,so neh
nombre acaban de terminar jajajajajja,sl,name just finished hahahaha
fue un gusto te ira bien junto rauw,es,It was a pleasure I will do well with Rauw
tiene un mes la publicación papito,es,The Papito publication has a month
ya están,es,They are already
ya terminaron,id,They already ended
yes chef,cy,Yes chef
already new girlfriend,cy,already new girlfriend
sir lip,lt,sir lip
rosalía best one,es,rosalía best one
dad,pt,dad
que hermosura,es,What beauty
vas matar un dia,lv,You're going to kill a day
que quiere unas recetas dice,es,What wants some recipes says
hi love,sl,hi love
good looking,so,good looking
well done,cy,well done
congrats,ca,congrats
wow,pl,wow
oh oh wow,pl,oh oh wow
sexy,ca,sexy
como dicen el barrio igual ya le movio el guisoa,es,"As the neighborhood say, I already moved the Guisoa"
english goodi want say love,tl,english goodi want say love
channeling,it,channeling
please adopt,es,please adopt
hai degli occhi fantastici,it,You have fantastic eyes
yummy pits,fi,yummy pits
r,cy,r
hey jeremiah ah,so,hey jeremiah ah
soñe contigo bb,es,Dream with you BB
guapo,tl,handsome
ay papito arde,tl,Oh daddy burns
que bien está comiendo,es,how well he is eating
ah bueno,id,oh ok
hot,cs,hot
ya sen bizi bitirdin yeter artık beee,tr,or you finished us enough now beee
ahhh tem gente chorando brasil,pt,ahhh there are people crying Brazil
mini doll,it,mini doll
bravo rosalia tendras una buena decendencia,es,Bravo Rosalia will have a good offspring
straordinario,it,extraordinary
cut jacket looks like one movie one wore,af,cut jacket looks like one movie one wore
porco dio mio marito,it,pig God my husband
lindooo,nl,lindooo
god damn,cy,god damn
eu amo seu trabalho aqui brasil sdds,pt,I LOVE YOUR WORK HERE BRAZIL SDDS
congrats emmy,ca,congrats emmy
affffmuito perfeito,it,Perfect Affffm
sat,tl,sat
ti mangio,id,I eat you
great look looking,af,great look looking
dang,id,dang
signore aiutaci,it,Lord help us
best best,de,best best
like,et,like
yes,tr,yes
sold,da,sold
lunico per cui vale la pena essere golden,it,lunico for which it is worth Golden
omyy chef,cy,Omyy boss
hay nadie como tú,es,There is no one like you
good lord,so,good lord
never find love amazing deep addison,it,never find love amazing deep addison
oopps fell,no,oopps fell
hello dear,it,hello dear
woof,af,woof
denim vest launched store online,de,denim vest launched store online
god,cy,god
love,sl,love
caucasian males like jezza woof woof,af,caucasian males like jezza woof woof
baby love,cs,baby love
ut,fr,ut
god,cy,god
por favor podí explicar como erí tan pero tan mino mijito rico,es,Please I could explain how so but so very much rich mijito
joke land w,af,joke land w
yes,tr,yes
lip gallagher,tl,lip gallagher
yes,tr,yes
recuerda james dean encanta,es,Remember James Dean Enchanta
eita,de,not
yes chef,cy,Yes chef
yup,id,yup
nah glow crazy,pl,nah glow crazy
still looking fine,et,still looking fine
lip,tl,lip
diosmio,it,my God
holy,cy,holy
blue blue,fr,blue blue
buen provecho reina,sk,B the Reina
jeremías,cs,Jeremiah
superstar,ro,superstar
vabe,af,bait
si todo,it,Yes everything
damn,id,damn
omg take easy calvin klein,af,omg take easy calvin klein
bit sexy,ca,bit sexy
delicious,ca,delicious
te pasas chef,es,You spend chef
gostoso,sl,tasty
perf,ca,perf
uh ohhhhh,et,Uh ohhhhh
que bien comes,es,How well you eat
te entiendo rosalía,es,I understand you Rosalia
love,sl,love
yes chef,cy,Yes chef
yaaassss,so,yaaassss
want boop,af,want boop
cutie,ro,cutie
divino el niño dios,es,DIVINE THE CHILD GOD
đẹp trai số má luôn lip ơi,vi,handsome
indossi questi capi maniera sublime,it,I wear these sublime ways
obsessed,et,obsessed
yes chef,cy,Yes chef
se mi vesto quel modo divento così bello,it,if I dress that way I become so beautiful
illegale,it,illegal
gosh,cy,gosh
buongiornissimo,it,Good vigor
anche stamattina è una grande gioia avere gli occhi,it,Even this morning it is a great joy to have eyes
развалился ишь,ru,I fell apart
la bellezza,it,beauty
il picco di ormone proprio,it,the peak of proper hormone
ok man,tl,ok man
lip looks good,et,lip looks good
spero di vedere la serie sulla rai mi piaci tanto,it,I hope to see the series on Rai I like you so much
tanta roba anche con il pigiama,it,A lot of stuff also with pajamas
queeeee maluma definitivamente entre gustos colores,es,Queeee Maluma definitely between tastes colors
si chef,it,Yes chef
maronn,fr,maronn
yup yummy,tr,yup yummy
miau,lt,miau
omg,sv,omg
mas,tl,but
yummmmy,fi,yummmmy
mother giving big mom energy go girlie,no,mother giving big mom energy go girlie
mis respetos la señora rosalía,es,My respects Mrs. Rosalia
love,sl,love
always,so,always
hotness,no,hotness
forever lip persona,no,forever lip persona
ammazza quanto sei bono,it,Kill how well you are
wooooooof,af,wooooooof
yeeeeeees chef,nl,yeeeeeees chef
saw jabby,so,saw jabby
barely seen tattoo man,fi,barely seen tattoo man
ñom,es,ñom
nah bue cocine algo rico acorde la foto digo,es,nah good cook something rich according to the photo I say
bark bark bark,tr,bark bark bark
bueee,nl,Buee
dios lo bendiga guarde,es,God bless you
smash,sq,smash
love jeremy,sl,love jeremy
great need stent,af,great need stent
puede pararrrrrrrr,es,It can Pararrrrrrr
good lord,so,good lord
ai minha nossa senhora das saletes,pt,Oh my Our Lady of Saletes
yes jeff,hu,yes jeff
crime,it,crime
swoon,af,swoon
desnecessário esse pecado,pt,unnecessary this sin
dream,ro,dream
ok,sk,ok
wow,pl,wow
god chef,cy,Good boss
babe,so,babe
cannot,it,cannot
hot damn ndkenfjejdkwje,da,hot damn ndkenfjejdkwje
yes chef,cy,Yes chef
yes chef,cy,Yes chef
oh dude,cy,oh dude
oh hi,cy,oh hi
lip,tl,lip
mio,et,mio
lip,tl,lip
oi deus,fr,Hi God
chef,cy,chef
amén,hu,amen
saliste hermoso bb te quedo bien el chaleco q compré viste te amo,es,"You came out beautiful bb, the vest was well"
seeee ciao,nl,seeeee hello
joking,fi,joking
gahhdemmmm,da,gahhdemmmm
hope get see calvin kleins traditional underwear shots,af,hope get see calvin kleins traditional underwear shots
jeremy por favor não faças essa caraestou chegar,pt,Jeremy please don't do this carast
bae,id,bae
sciolta,it,loose
dayum,so,dayum
madre mía jeremías,es,My Jeremiah mother
yummy,tr,yummy
yes daddy mean yes chef,cy,yes daddy mean yes chef
omg,sv,omg
dios,it,God
ow ow,pl,ow ow
cannot sad glad good,cy,cannot sad glad good
okay,tl,okay
yes chef,cy,Yes chef
yes lawd,cy,ndems
anyone else pregnant,ca,anyone else pregnant
take dinnerrrrrrr,no,take dinnerrrrrrr
good luck,so,good luck
mood boost,so,mood boost
treat,ro,treat
yes chef,cy,Yes chef
tag friends,da,tag friends
yes chef,cy,Yes chef
happy assist,fi,happy assist
indeed,nl,indeed
judging,da,judging
grande,af,grande
delish,nl,delish
lip lip,tl,lip lip
yes,tr,yes
okay zoolander,nl,okay zoolander
bartender please make mine,da,bartender please make mine
let us alone,fr,let us alone
vu il les santiags,fr,seen he santiags
oh come,pt,oh come
killing,fi,killing
oml,sv,oml
menu,id,menu
eyes,tr,eyes
amém,hu,amen
misericórdia,es,compassion
rifatti gli occhi,it,redone your eyes
mí gustan de esos,ca,I like those
que recuerdos,es,What memories
bro majestic,hr,bro majestic
boom,so,boom
por um momento pensei estar olhando para uma pintura,pt,For a moment I thought I was looking at a painting
le bleu de ses yeux tout un poème,fr,The blue of his eyes a whole poem
madre mia,pt,my mother
ti amo,lt,I love you
ill buy calvin klein,tr,ill buy calvin klein
jesús por dios,sk,Jesus for God
want go,af,want go
man,tl,man
jajajajajajjajaja,sl,hahahahahahaha
complimenti mamma,it,congratulations mom
meow,pl,meow
ti amo xseo,it,I love you xseo
despairszn lie,fr,despairszn lie
lip,tl,lip
te amo lip,it,I love you lip
oh hum yea okay,sw,oh hum yea okay
urge un maraton de shameless porque andamps muy,fr,A shameless marathon is urgent because Andamps very
hell yes daddy mean chef,cy,hell yes daddy mean chef
de hechoooooo,nl,by Hechoooooo
lip,tl,lip
looking delicious,nl,looking delicious
wow,pl,wow
yes,tr,yes
rawrrrrrrrrr,cy,rawrrrrrrrrr
dios mio,lt,my God
beautiful,fr,beautiful
say upmost dare,tl,say upmost dare
calling police,it,calling police
guys cannot,cy,guys cannot
pigghialu ca cariu,ro,take it than to fall
inlove uuuu,sl,inlolowai
paraaaaaaaaa,so,Paraaaaaaaaa
rosalia fight,it,rosalia fight
dies cutely,ro,dies cutely
smokes,lt,smokes
oración para que la rosalía siga bien nutrida,es,Prayer for Rosalia to remain well nourished
sexy,ca,sexy
done,it,done
truly,ro,truly
mas que isso gente,pt,but that people
call tamera man,ca,call tamera man
wow,pl,wow
telling,fi,telling
omg,sv,omg
looking good jeremy,hr,looking good jeremy
agreed,af,agreed
contrólate jeremy,es,Jeremy counterworthy
ay wei,so,Ay wei
tú yo una buena peli de hitcock una papas fritasque más,es,you a good Hitchcock movie a french fried potatoes
wish,sw,wish
tanta lana,id,slash
sexy af,so,Sexy of
tenes que cerrar el estadio,es,You have to close the stadium
jeremy jungkook mingyu love calvin klein,sl,jeremy jungkook mingyu love calvin klein
quizás de mi barrio pero si de mi país con maluma ya lo borramos el del mapa jajaja relájate solo fue una opinión ni que te pagarán la publicidad,es,Maybe from my neighborhood but if my country with Maluma we already erased the map hahaha relaxed only an opinion or that they will pay you advertising
calabocaaaaa,so,Calabocaaaaa
kidding,af,kidding
damn lipp grew,sv,damn lipp grew
cha madre awee,cy,Cha Madre Awee
por tu cumple te mandaré un cartel de tamaño real ee el,es,For your birthday I will send you a real -size poster ee the
aaa que rico,so,Aaa how rich
hall pass,fi,hall pass
damn,id,damn
dude,fr,dude
goooo,so,Gauoo
oh,fi,oh
היי בעלי מתגעגע הביתה,he,Hi my husband miss home
yes chef omg,cy,yes chef omg
yes chef,cy,Yes chef
geez happy mf tuesday,nl,geez happy mf tuesday
hola te amo mi nieto también,es,Hello I love you my grandson too
ti amo,lt,I love you
es normal para vos invítame tu barrio ahr,es,It is normal for you invite me your neighborhood ahr
cual,es,which
feel like get married jkjk unlesssss,nl,feel like get married jkjk unlesssss
te amooo,et,I love you
god,cy,god
ah para né,id,Ah for right
ah,so,ah
wow,pl,wow
q guapo estás rey,es,how handsome you are king
pof,sl,pof
lip,tl,lip
love,sl,love
kkeeeehhhhhh,et,kkeeeehhhhhh
ohhhhhhhh,et,Ohhhhhhhh
telling finally listening omg,no,telling finally listening omg
amo,sw,amo
oh god,cy,oh god
call police fire,it,call police fire
por qué,fr,because
que homem,fr,what a man
oh la rosalia,fi,Oh the rosalia
rosiiii,fi,rosiiii
yes,tr,yes
oh lawd,cy,oh roses
que rico puerto rico,es,How Rico Puerto Rico
resist hot man omg,no,resist hot man omg
oh ovaries,sk,oh ovaries
dios,it,God
wow,pl,wow
chef daddy,cy,chef daddy
io ti amo,it,I love you
brutal,ro,brutal
need,af,need
daddy,cy,daddy
pregnant speak,it,pregnant speak
alexa play lesley gore,so,alexa play lesley gore
chill man wife,cy,chill man wife
wow,pl,wow
work art,af,work art
bark bark,tr,bark bark
unreal,ro,unreal
holyyyyyyy,cy,holyyyyyyy
cousin,fr,cousin
oh,fi,oh
oh,fi,oh
behind,de,behind
wow,pl,wow
looks like ex,et,looks like ex
love,sl,love
oh,fi,oh
cada día estás más,es,Every day you are more
keep coming,nl,keep coming
mean oooooookkkkk,af,Unable of Good Doncker
le veo nada de lindo la verdad es muy normal,es,I see anything nice the truth is very normal
oh days,so,oh days
oh wow,pl,oh wow
yes chef,cy,Yes chef
go,cy,go
homem da minha vida,pt,MAN OF MY LIFE
num tem menor condição,pt,In one has less condition
papasitooooo,tl,paddoooooo
stop,cs,stop
síi ella lo dijo en el live qué hizo,es,"If she said it in Live, what did he do"
con todo respeto,es,With all due respect
dime tú,sq,you tell me
fine frog hair,da,fine frog hair
hot hot,nl,hot hot
gorgeous,af,gorgeous
sexy,ca,sexy
yes chef,cy,Yes chef
ahora un poema,es,Now a poem
sydney sign agreement yet keep eye,da,sydney sign agreement yet keep eye
good lord gorgeous,af,good lord gorgeous
yes chef,cy,Yes chef
love arm,sl,love arm
jajajajajaja,sl,hahahahaha
hi sexy,sw,hi sexy
get go make meatball sub,no,get go make meatball sub
husband way,sw,husband way
love,sl,love
eh chef porca vacca,it,Eh chef porca vacca
carmy carmy,ro,carmy carmy
god damn,cy,god damn
lol,es,lol
crazy,pl,crazy
buenoooooo,af,Buenooooo
que bendición,es,What a blessing
love,sl,love
romanesque character,fr,romanesque character
nice,pl,nice
nose,pt,nose
beautiful,fr,beautiful
chef,cy,chef
stop,cs,stop
yes chef,cy,Yes chef
lipppp,fi,lipppp
se vabbe ciaone,it,If Ciaone Okay
baby love,cs,baby love
creo,ro,believe
yummmy,tr,Yummma
fine,it,fine
un aplauso rosalía,es,UN Applause Rosalía
sat,id,sat
te amo,pt,I love you
broke long friend,da,broke long friend
adorable,es,adorable
gets sexier time see,nl,gets sexier time see
lip,tl,lip
va gustar la cocina,ca,Cooking will like
te calmas,pt,You calm down
bro got maddest rizz face fr,it,bro got maddest rizz face fr
feels illegal,ca,feels illegal
fra lui kook gyu e bright non chi scegliere,it,Between him Kook Gyu and Bright not who to choose
yes chef jaw never disappoints congrats,fr,yes chef jaw never disappoints congrats
love besides ryan reynolds,da,love besides ryan reynolds
affff,cy,affff
oh qué pena igualmente mis respetos por haber comido ahí,pt,Oh what a shame equally my respect for having eaten there
oh come,pt,oh come
si chef,it,Yes chef
love manicure photos sarcasm evidence care good,es,love manicure photos sarcasm evidence care good
great lips great eyes,ca,great lips great eyes
yes chef,cy,Yes chef
la vuoi finire,fi,you want to end it
welcome,nl,welcome
te amo,pt,I love you
mi novio,sk,My boyfriend
slay,so,slay
oh god,cy,oh god
cuando pensaba que podía gustar más basta basta te amo locoooo,es,"When I thought I might like it, I love you crazy, I love you crazy"
aparentemente,nl,apparently
per è sì,it,for it is yes
jesus cristo,hr,Jesus Christ
sij na pret,sl,Seeje to pray
appreciate support,it,appreciate support
trick trade,sv,trick trade
oh dear god,cy,oh dear god
rosalia lucky girl,sk,rosalia lucky girl
legal,hu,legal
que mal haces carmy,es,What bad do you do carmy
oh god,cy,oh god
si todo,it,Yes everything
makes realise quite asexual,et,makes realise quite asexual
ide like mine medium rare please,et,ide like mine medium rare please
cuida,es,care
cannot even,it,cannot even
turbez,lv,turbez
holy smokes,hu,holy smokes
broke long friend,da,broke long friend
mamm e larc,it,Mamm e larc
yes chef hes,cy,yes chef hes
could get lost eyes,fr,could get lost eyes
goodness,hr,goodness
mamma,sv,mamma
diosmio pero,it,Godmium but
look like fr,af,look like fr
yes chef,cy,Yes chef
mi cheff diosssssss,it,Noodle Chef Dssssssss
ok chef,sk,Ok chef
gorgeous,af,gorgeous
chef,cy,chef
yeeeees,so,Yeeees
omg future husband,da,omg future husband
eddai,cy,swallow
hot,cs,hot
go easy us,cy,go easy us
cryyyying,cy,cryyyying
man man man,tl,Man man
jacket sleeves cut bruh vest called vest,no,jacket sleeves cut bruh vest called vest
tomo la pastilla,es,I take the pill
meu namorado aí,pt,my boyfriend there
daddy,cy,daddy
bro girlfriend,da,bro girlfriend
yes plsssssss,fr,yes plsssssss
get pictures,fr,get pictures
losing marbles,tl,losing marbles
amorrrrre,ca,amorrrrre
hoooooo god,so,hoooooo god
yes chef,cy,Yes chef
mindful demure,ro,mindful demure
jesucristo redentor,es,Jesus Christ redeemer
yes chef,cy,Yes chef
damn,id,damn
omg,sv,omg
rosalía aún sigue comiendo rico,es,Rosalia is still eating rich
damn,id,damn
yes chef,cy,Yes chef
pelo amor de deus,pt,for God's sake
quelque chose de james dean,es,Something James Dean
yeah,tr,yeah
pronto,it,pronto
okay need deck,so,okay need deck
ti amo,lt,I love you
morí muerta,ca,I died dead
si chef,it,Yes chef
oh jeremy allen man,fi,oh jeremy allen man
let us go bro loving,sl,let us go bro loving
love,sl,love
yes chef,cy,Yes chef
yes chef,cy,Yes chef
definite must jacket,et,definite must jacket
fab,cy,fab
yes chef,cy,Yes chef
miss jk,et,miss jk
yes chef,cy,Yes chef
te amo x dios,pt,I love you x God
